Gene	CRE1	CRE2	CRE3	CRE4	FLOX1A	FLOX1	FLOX2A	FLOX2	FLOX3	FLOX4A
Ghdc	25.2861877	24.42335757	22.58306183	20.65951485	19.54162017	23.20615482	18.97297756	24.38867081	20.92179645	15.34486346
Ghitm	264.1556349	263.6235481	254.1691905	235.344574	169.7205906	204.9040752	167.5103972	197.5863409	192.9019468	197.1530152
Ghr	0.055452166	0.076263412	0.121938779	0.151213283	0.035988251	0.271783795	0.369350998	0.076214596	0.242409406	0.414259531
Ghrl	0	0.247856088	0.512142871	0.321328227	0.035988251	0.146345121	0.077758105	0.247697438	0.316996916	0.103564883
Gid4	19.42674216	17.12113591	22.02214345	14.91341008	19.72156142	20.92735223	19.24513093	20.93996033	15.99902082	19.79815342
Gid8	30.59111159	29.39954518	28.19224565	28.22017902	38.2735047	41.35294977	39.71495201	30.31435568	31.30810717	34.48710596
Gigyf1	57.61480049	53.46065154	70.50500189	66.5338447	72.71426068	48.54476712	68.79648319	73.37560258	59.94971086	70.19972971
Gigyf2	50.96054057	50.10506143	58.99398118	54.68250361	50.79741596	54.39857194	50.71772383	85.62709894	62.50433307	65.38396266
Gimap1	0.036968111	0.057197559	0	0.170114944	2.087318545	0.209064458	1.652359726	0.114321894	0.466171935	1.898689518
Gimap3	0.221808664	0.45758047	0.146326535	0.510344831	1.331565279	0.292690241	3.576872819	0.495394876	0.801815728	6.317457849
Gimap4	0.240292719	0.877029234	0.146326535	0.170114944	1.025665147	0.919883615	2.254985038	0.476341227	1.174753277	7.404889119
Gimap5	0.018484055	0.019065853	0	0.01890166	0.449853135	0.104532229	0.194395262	0	0.261056284	0.828519062
Gimap6	1.62659687	1.410873115	0.560918382	1.493231174	1.87138904	0.94079006	2.410501248	0.971736103	1.901981496	4.177116939
Gimap7	0	0.228790235	0	0.01890166	0.485841385	0.062719337	0.622064838	0	0.07458751	1.674298938
Gimap8	0.018484055	0.057197559	0.024387756	0.094508302	0.46784726	0.062719337	1.574601621	0.190536491	0.484818813	2.571861256
Gimap9	0.573005716	0.800765822	0.829183696	0.45363985	1.889383166	1.003509398	1.710678305	0.381072981	1.025578257	2.796251835
Gin1	4.87979061	4.842726637	3.780102142	3.459003858	4.822425603	8.23713964	5.423627807	6.57350893	4.624425597	4.332464263
Ginm1	11.16436943	11.63017027	14.29122487	12.17266931	11.15635774	13.86097356	12.1691434	14.3664514	12.69852351	14.15386731
Gins1	14.86118049	10.77220689	8.803979828	7.617369152	12.63187602	24.87867049	12.11082482	17.60557174	15.17855821	9.769620609
Gins2	15.3972181	12.60252877	9.242959432	6.766794432	9.015056818	21.34548115	9.486488781	18.93932718	14.86156129	9.372621891
Gins3	4.232848673	3.755973022	2.268061285	2.797445743	6.31593801	5.101172772	5.015397757	5.277860793	3.654787972	4.505072401
Gins4	25.37860798	24.91906974	19.92479645	20.22477666	23.37436888	34.89285802	22.64704801	26.38930397	22.73054356	22.1456241
Gipc1	63.04911276	54.31861492	41.87377663	40.29834003	69.36735336	67.86232303	71.59577496	60.87640879	48.4445875	49.22784095
Gipc2	0.110904332	0.019065853	0	0	0.017994125	0.020906446	0.388790524	0.133375544	0.298350039	0.017260814
Gipc3	0.203324609	0.228790235	0.219489802	0.151213283	0.341888382	0	0.369350998	0.114321894	0.223762529	0.535085228
Gipr	1.293883874	1.04862191	4.731224617	3.723627104	13.18969391	3.784066688	10.32238841	14.29023681	8.148685427	6.541848429
Git1	74.39832274	62.57412923	72.23653255	66.91187791	72.75024894	68.11320038	71.59577496	85.32224055	70.70895913	66.16069928
Git2	95.74740666	98.34166927	98.47775774	100.6135384	106.5612105	86.71993713	95.03984354	114.5886455	94.5023747	110.8834678
Gja1	61.20070723	43.47014462	55.40898108	37.08505776	14.84515344	46.95587724	15.31834664	82.71189063	125.5680725	9.890446305
Gja3	0	0.057197559	0.024387756	0	0	0	0.019439526	0	0	0.017260814
Gja5	0	0	0.146326535	0	0.377876633	0.104532229	0.097197631	0	0.130528142	0.034521628
Gja6	0	0.152526823	0	0.01890166	0.089970627	0.083625783	0.038879052	0.019053649	0	0.207129766
Gjb2	1.682049036	0.552909734	0.438979604	0.812771398	4.498531346	2.613305723	4.762683917	1.562399224	2.722444101	5.937719946
Gjb3	0.055452166	0.095329265	0.097551023	0.01890166	0.071976502	0	0.213834788	0.019053649	0.149175019	0.103564883
Gjb5	0	0.266921941	0	0	0	0	0	0	0	0
Gjc1	0.295744885	0.705436557	0.707244917	0.245721586	0.539823762	0.480848253	0.952536783	0.438233929	0.205115651	1.622516497
Gjc3	1.515692538	0.667304852	0.292653069	0.661558115	2.969030689	1.860673675	2.021710724	2.762779116	1.566337702	2.520078814
Gk	21.71876502	24.0039088	41.02020518	38.65389557	59.86645516	42.62824296	67.70786972	53.55980755	68.21027755	108.0699552
Gk5	3.364098072	3.08866817	4.19469399	2.627330799	3.059001316	1.860673675	1.866194514	4.344231989	3.617494217	3.106946483
Gkap1	6.561839646	5.9104144	3.999591944	4.990038352	2.3392363	8.258046086	2.721533667	6.287704194	6.116175789	4.073552056
Gla	290.8281267	323.776314	359.9144995	342.0066437	130.9432504	225.3505791	135.2407837	217.6117261	243.6587471	220.6104611
Glb1	81.44074783	74.62374826	59.84755263	61.58160967	40.59474687	64.58001104	41.13403742	73.0707442	53.12495373	35.07397363
Glb1l	9.020219006	9.952375215	10.63306151	9.961175044	7.485556161	8.446204098	7.484217583	11.98474527	7.701160369	7.991756788
Glcci1	0.240292719	0.285987794	0.463367359	0.245721586	0.125958878	0.376316024	0.174955736	0.571609472	0.484818813	0.310694648
Glce	16.59868169	14.43285065	13.46204118	13.94942539	6.603844017	13.98641223	8.844984417	19.18702462	13.81733616	10.64992211
Gldc	0.683910048	0.381317058	1.097449009	0.812771398	0.485841385	0.125438675	0.291592893	0.476341227	0.354290671	1.121952897
Gle1	30.25839859	28.80850374	27.36306196	22.64418919	27.53101184	35.93818031	29.4703217	30.80975055	30.6181727	28.49760358
Glg1	211.1248801	191.5355583	227.6353122	221.1872303	232.5920647	214.4374144	225.8289758	286.7574186	259.639121	191.9575102
Gli3	0.499069494	0.915160939	0.926734719	0.340229888	1.025665147	0.627193374	1.652359726	1.524291926	1.864687741	2.744469394
Glipr1	22.31025479	18.83706267	34.80132746	30.22375502	28.88057124	23.87516109	32.38625063	25.76053355	29.76041634	35.17753852
Glipr2	56.13607607	62.40253655	49.89734828	49.63576028	88.5310969	36.41902856	95.19535975	27.70400575	44.43550886	82.00612635
Glis1	0	0.038131706	0.195102046	0.075606642	0.161947128	0	0.544306733	0.20959014	0.242409406	0
Glis2	1.996277977	2.783614524	1.707142903	2.192592609	1.313571153	1.128948073	0.369350998	0.914575156	1.100165767	1.36360429
